sku,title,price,ram,storage,color,images,screen_size,main_camera,front_camera,processor,processor_cores,battery_capacity,OS
675415,Apple iPhone 12 Pro 128GB,37799,,128 Gb,Blue,https://i.citrus.ua/uploads/shop/7/6/764f8071b21fa3d7b7430ba518665d4d.jpg|https://i.citrus.ua/uploads/shop/4/f/4f6c6c95e6fdcccf8ab758c48e6212c9.jpg|https://i.citrus.ua/uploads/shop/0/0/00d7b7ad642c61f6887d0d2ef3645b51.jpg,"6,1""",12MP + 12MP + 12MP,12MP,Apple A14 Bionic,6,3046,
675376,Apple iPhone 12 Pro 128GB,37799,,128 Gb,Gold,https://i.citrus.ua/uploads/shop/f/0/f08b26b4064f92efff805758096263d6.jpg|https://i.citrus.ua/uploads/shop/1/7/17fab2273d3d1f6a20d4b38b4540048e.jpg|https://i.citrus.ua/uploads/shop/3/b/3b0fa7503d254503751de757d3900286.jpg,"6,1""",12MP + 12MP + 12MP,12MP,Apple A14 Bionic,6,3046,
675414,Apple iPhone 12 Pro 128GB,37799,,128 Gb,Graphite,https://i.citrus.ua/uploads/shop/5/0/5032bdce9349bf5fbdf7db6453fd940d.jpg|https://i.citrus.ua/uploads/shop/2/1/2172d116d1e6d8d1bae90e3e0fec1313.jpg,"6,1""",12MP + 12MP + 12MP,12MP,Apple A14 Bionic,6,3046,
675378,Apple iPhone 12 Pro 128GB,37799,,128 Gb,Silver,https://i.citrus.ua/uploads/shop/8/d/8d515e4a0b98bb5c151a628aada312a2.jpg|https://i.citrus.ua/uploads/shop/1/7/1745584d133ceba7550b2802436f579e.jpg,"6,1""",12MP + 12MP + 12MP,12MP,Apple A14 Bionic,6,3046,
675417,Apple iPhone 12 Pro 256GB,41799,,256 Gb,Blue,https://i.citrus.ua/uploads/shop/7/6/764f8071b21fa3d7b7430ba518665d4d.jpg|https://i.citrus.ua/uploads/shop/4/f/4f6c6c95e6fdcccf8ab758c48e6212c9.jpg|https://i.citrus.ua/uploads/shop/0/0/00d7b7ad642c61f6887d0d2ef3645b51.jpg,"6,1""",12MP + 12MP + 12MP,12MP,Apple A14 Bionic,6,3046,
675319,Apple iPhone 12 Pro 256GB,41799,,256 Gb,Gold,https://i.citrus.ua/uploads/shop/f/0/f08b26b4064f92efff805758096263d6.jpg|https://i.citrus.ua/uploads/shop/1/7/17fab2273d3d1f6a20d4b38b4540048e.jpg|https://i.citrus.ua/uploads/shop/3/b/3b0fa7503d254503751de757d3900286.jpg,"6,1""",12MP + 12MP + 12MP,12MP,Apple A14 Bionic,6,3046,
675416,Apple iPhone 12 Pro 256GB,41799,,256 Gb,Graphite,https://i.citrus.ua/uploads/shop/5/0/5032bdce9349bf5fbdf7db6453fd940d.jpg|https://i.citrus.ua/uploads/shop/2/1/2172d116d1e6d8d1bae90e3e0fec1313.jpg,"6,1""",12MP + 12MP + 12MP,12MP,Apple A14 Bionic,6,3046,
675322,Apple iPhone 12 Pro 256GB,41799,,256 Gb,Silver,https://i.citrus.ua/uploads/shop/8/d/8d515e4a0b98bb5c151a628aada312a2.jpg|https://i.citrus.ua/uploads/shop/1/7/1745584d133ceba7550b2802436f579e.jpg,"6,1""",12MP + 12MP + 12MP,12MP,Apple A14 Bionic,6,3046,
675419,Apple iPhone 12 Pro 512GB,47799,,512 Gb,Blue,https://i.citrus.ua/uploads/shop/7/6/764f8071b21fa3d7b7430ba518665d4d.jpg|https://i.citrus.ua/uploads/shop/4/f/4f6c6c95e6fdcccf8ab758c48e6212c9.jpg|https://i.citrus.ua/uploads/shop/0/0/00d7b7ad642c61f6887d0d2ef3645b51.jpg,"6,1""",12MP + 12MP + 12MP,12MP,Apple A14 Bionic,6,3046,
675327,Apple iPhone 12 Pro 512GB,47799,,512 Gb,Gold,https://i.citrus.ua/uploads/shop/f/0/f08b26b4064f92efff805758096263d6.jpg|https://i.citrus.ua/uploads/shop/1/7/17fab2273d3d1f6a20d4b38b4540048e.jpg|https://i.citrus.ua/uploads/shop/3/b/3b0fa7503d254503751de757d3900286.jpg,"6,1""",12MP + 12MP + 12MP,12MP,Apple A14 Bionic,6,3046,
675418,Apple iPhone 12 Pro 512GB,47799,,512 Gb,Graphite,https://i.citrus.ua/uploads/shop/5/0/5032bdce9349bf5fbdf7db6453fd940d.jpg|https://i.citrus.ua/uploads/shop/2/1/2172d116d1e6d8d1bae90e3e0fec1313.jpg,"6,1""",12MP + 12MP + 12MP,12MP,Apple A14 Bionic,6,3046,
675331,Apple iPhone 12 Pro 512GB,47799,,512 Gb,Silver,https://i.citrus.ua/uploads/shop/8/d/8d515e4a0b98bb5c151a628aada312a2.jpg|https://i.citrus.ua/uploads/shop/1/7/1745584d133ceba7550b2802436f579e.jpg,"6,1""",12MP + 12MP + 12MP,12MP,Apple A14 Bionic,6,3046,
676604,Apple iPhone SE 2020 64Gb,14599,,64 Gb,Black,https://i.citrus.ua/uploads/shop/4/a/4a8a1575393b949009a99c137071f7ee.jpg|https://i.citrus.ua/uploads/shop/0/3/03e4607416a221d050546de55460b8bc.jpg|https://i.citrus.ua/uploads/shop/4/a/4a087a001932a6d65d14833a54377187.jpg|https://i.citrus.ua/uploads/shop/8/3/834f38de498582408d1b66ea76257156.jpg,"4,7""",12MP,7MP,Apple A13 Bionic,6,1821,
676610,Apple iPhone SE 2020 64Gb,14599,,64 Gb,Red,https://i.citrus.ua/uploads/shop/2/5/2570b955dc4f9cdba9de5dc0786c7183.jpg|https://i.citrus.ua/uploads/shop/0/7/07994063fbe14961a0baa486e7269a09.jpg|https://i.citrus.ua/uploads/shop/b/c/bcee3b7d02c4f78ded06c4d259a3625d.jpg|https://i.citrus.ua/uploads/shop/6/f/6f03c4fad008906d481f3a887917f608.jpg,"4,7""",12MP,7MP,Apple A13 Bionic,6,1821,
676606,Apple iPhone SE 2020 64Gb,14599,,64 Gb,White,https://i.citrus.ua/uploads/shop/7/b/7bb37475ba57263c9f97b4c1013979bf.jpg|https://i.citrus.ua/uploads/shop/b/8/b8f849ba38094a8b8a7291bea14c2b50.jpg|https://i.citrus.ua/uploads/shop/2/3/23b205326fef0800ad48c32e23d3fc2a.jpg|https://i.citrus.ua/uploads/shop/1/d/1dcf0c73298eb94e78d598350dc43be4.jpg,"4,7""",12MP,7MP,Apple A13 Bionic,6,1821,
676603,Apple iPhone SE 2020 128Gb,16599,,128 Gb,Black,https://i.citrus.ua/uploads/shop/4/a/4a8a1575393b949009a99c137071f7ee.jpg|https://i.citrus.ua/uploads/shop/0/3/03e4607416a221d050546de55460b8bc.jpg|https://i.citrus.ua/uploads/shop/4/a/4a087a001932a6d65d14833a54377187.jpg|https://i.citrus.ua/uploads/shop/8/3/834f38de498582408d1b66ea76257156.jpg,"4,7""",12MP,7MP,Apple A13 Bionic,6,1821,
676609,Apple iPhone SE 2020 128Gb,16599,,128 Gb,Red,https://i.citrus.ua/uploads/shop/2/5/2570b955dc4f9cdba9de5dc0786c7183.jpg|https://i.citrus.ua/uploads/shop/0/7/07994063fbe14961a0baa486e7269a09.jpg|https://i.citrus.ua/uploads/shop/b/c/bcee3b7d02c4f78ded06c4d259a3625d.jpg|https://i.citrus.ua/uploads/shop/6/f/6f03c4fad008906d481f3a887917f608.jpg,"4,7""",12MP,7MP,Apple A13 Bionic,6,1821,
676611,Apple iPhone SE 2020 128Gb,16599,,128 Gb,White,https://i.citrus.ua/uploads/shop/7/b/7bb37475ba57263c9f97b4c1013979bf.jpg|https://i.citrus.ua/uploads/shop/b/8/b8f849ba38094a8b8a7291bea14c2b50.jpg|https://i.citrus.ua/uploads/shop/2/3/23b205326fef0800ad48c32e23d3fc2a.jpg|https://i.citrus.ua/uploads/shop/1/d/1dcf0c73298eb94e78d598350dc43be4.jpg,"4,7""",12MP,7MP,Apple A13 Bionic,6,1821,
676612,Apple iPhone SE 2020 256Gb,19599,,256 Gb,Black,https://i.citrus.ua/uploads/shop/4/a/4a8a1575393b949009a99c137071f7ee.jpg|https://i.citrus.ua/uploads/shop/0/3/03e4607416a221d050546de55460b8bc.jpg|https://i.citrus.ua/uploads/shop/4/a/4a087a001932a6d65d14833a54377187.jpg|https://i.citrus.ua/uploads/shop/8/3/834f38de498582408d1b66ea76257156.jpg,"4,7""",12MP,7MP,Apple A13 Bionic,6,1821,
